CommCode,Total Seps,Campus Code,CampusSeps
S285,563.107112688301,1660,223.44133327782
S286,756.294131837829,1071,429.864144136857
S287,1063.03632472747,1071,780.324294933595
S288,1813.65859085006,1032,996.439393174034
S289,1512.24958912732,1220,553.704938282358
S290,160.355361460483,2060,147.999980641513
S291,2615.54509945813,1335,1407.26816908043
S292,1398.49293077415,1370,386.867803271839
S293,0,1021,0
S294,4988.83097504601,1220,2098.46741589405
S295,1153.19182353193,1180,327.389193191284
S296,5372.46471967047,2230,3419.63645460918
S297,723.43142760309,2020,602.994922440665
S298,161.619609751647,1660,49.577418609504
S299,3092.75584615895,2230,1905.52637994978
S300,1809.09845925963,1220,536.818069504169
S301,629.79265420487,2020,524.944983946954
S302,3268.14133047931,2230,1600.6739978282
S303,527.56008466173,2020,439.737896608254
S304,5796.0305815183,1180,1950.00576305702
S305,4584.25817931271,1180,1549.02456550815
S306,1692.1239022988,1021,602.624160947169
S307,5425.24015974707,3670,2024.04434009977
S308,1958.3250447055,3670,661.520878459906
S309,5925.4176441134,3670,2213.0275202435
S310,164.538307561965,2020,137.146047960362
S311,1654.59633289015,2060,1439.08451085445
S312,468.921952308838,2020,390.856047530422
S313,2491.499688119,1191,876.902267577147
S314,2163.09861311198,2060,1910.21576097206
S315,1228.17095770887,1335,474.02882317981
S316,9362.15014360794,2120,3400.92663706907
S317,2459.18459373691,2120,914.923141040124
S318,3434.52028632224,2060,3140.61594698091
S319,1313.2861535576,1022,1086.3483035763
S320,819.545622994253,2060,750.987458220979
S321,3351.09329818682,1335,1839.27748553153
S322,152.088373723692,2060,139.069608932944
S323,383.083271319522,1220,129.479506130387
S324,5580.63293840786,1460,2451.84589225006
S325,615.367817599713,1180,266.837986846619
S326,2314.83791580208,1071,1232.73402251745
S327,1757.48105778926,1335,651.528745351024
S328,1872.48259213601,1180,763.369647226663
S329,1490.34915137332,1180,607.576401318315
S330,3004.00319870532,1180,1406.10179680398
S331,167.494009693159,1660,70.7306377052897
S332,1696.84968658,1021,472.473850908679
S333,487.930826723739,1220,212.64866581086
S334,1708.24555320134,1180,484.928822882167
S335,634.162266174646,1335,241.881878493286
S336,3575.89284588881,1335,1609.64480906811
S337,2289.73691912327,1335,1034.23633354542
S338,1980.33174894669,2230,1042.43764982129
S339,522.280190369144,2230,325.050234144773
S340,167.755136743392,1032,83.859394298727
S341,8188.82203824279,1332,3134.29731635046
S342,3275.88466552396,1021,1846.21192845969
S343,206.796872757948,1260,161.827594269913
S344,2884.34433764265,1021,2167.8731522244
S345,11227.7795574014,1032,4425.19306347181
S346,323.368825931404,1460,133.866926918224
S347,781.56684470903,1022,646.510780117936
S348,258.803618920979,1450,113.473000047256
S349,739.863311495496,2020,616.713176383925
S350,280.589750711308,1032,129.28445497072
S351,18665.3295607094,1032,6586.05424640083
S352,4246.31262173043,1460,1851.26458140341
S353,3571.86405648744,1220,1737.66207879195
S354,2390.51131731294,1220,1214.53864554704
S355,2136.77706905499,1220,1038.30248029507
S356,150.390152792981,2060,137.810154584999
S357,338.233766812513,1021,215.883344360657
S358,1872.42190947868,1032,780.573096299933
S359,5131.30479901237,1260,2636.50575150552
S360,1530.16862615573,2230,669.671364285996
S361,5483.07223758934,1180,1106.13386432834
S362,5659.15922339103,1290,2176.06667874672
S363,2307.27213295052,1260,954.976383730754
S364,1127.64581975998,2230,519.440436238742
S365,402.962047835875,1022,344.43466538198
S366,936.081864090823,2660,177.704014080904
S367,1980.08406655157,1370,963.665180696073
S368,118.130769073127,1660,54.8564028380499
S369,1099.27081186137,1660,408.448406195249
S370,1467.80200376568,1332,373.702938849052
S371,5126.55928858202,2230,3120.61008706412
S372,590.520717364706,1191,169.127413822877
S373,3109.54141934249,2020,2613.48549074904
S374,1436.77129510899,1191,527.698942080351
S375,326.306948308366,1660,169.306229791712
S376,25.0878776464561,1660,10.0336830221375
S377,2285.6212769561,2660,434.131215765889
S378,701.67154106978,2020,584.857595592837
S379,206.143672484191,2230,144.568329646937
S380,18.9695265581791,1335,14.971850348242
S381,2135.271226034,2230,1329.26439200568
S382,247.203289571509,2230,109.012508306267
S383,204.911029706538,2060,180.955814772364
S384,391.494973508478,1191,137.82718466706
S385,2242.26883098805,1021,1387.03764092841
S386,4832.76135004475,1290,1752.99745472733
S387,5.60573070134776,1021,1.39181929428746
S388,3879.30587338834,1021,2639.48985527708
S389,1017.69080671878,1021,320.235299743387
S390,485.436494073307,1191,170.327877765669
S391,988.040497051074,1022,817.303979979817
S392,6610.77897234609,1180,2112.73241193795
S393,3017.22772431564,1180,1016.28458826384
S394,12536.629700652,1450,5954.54114905235
S395,1807.52200764813,2060,1572.08697226419
S396,241.726765140601,1260,100.067523961042
S397,614.625780001372,1032,282.539056003084
S398,4176.78431638033,1021,2890.27646906498
S399,2308.26856940374,1021,1501.998745937
S400,669.126404818778,1021,463.510503210106
S401,1894.37259080592,1022,1567.00591762822
S402,1002.36065608532,1022,797.982317718582
S403,1392.75590201741,1335,701.498099959719
S404,162.911094315784,1335,81.5853773644764
S405,2869.59893602416,1450,1216.98048387069
S406,3447.0357861332,1450,1466.31235596283
S407,5394.25338426436,1450,2271.14335675495
S408,1995.92709791667,1071,1133.42454748064
S409,2421.26858326024,1450,856.815757543879
S410,5841.11254306738,1332,2493.07053663072
S411,2711.70753191314,1450,962.182577502415
S412,4055.47765848161,1450,1476.13452669672
S413,438.962303576543,1660,213.636237445079
S414,3757.6244996195,1032,947.760873811684
S415,3604.19591162456,1032,1296.81685210827
S416,793.019708836602,1660,328.485236427371
S417,102.846941372006,1660,60.7750881017936
S418,8569.58024241776,1290,2988.2685950785
S419,568.728136331898,2060,494.649437577548
S420,5583.39975019049,1032,1766.42298233153
S421,1168.92242556265,1021,531.34710462855
S422,762.811697069937,1260,315.716633777411
S423,1.07876789304929,1191,0.369988795845769
S424,343.887430778506,1335,128.770111805636
S425,0,1021,0
S426,2458.85863508579,1332,1049.02233230463
S427,2110.63961576738,1335,917.900888412845
S428,558.936176718811,2230,374.732045816464
S429,820.388721913187,1660,370.374224643276
S430,1162.79056046508,1660,567.039242105834
S431,1645.24343773811,1071,558.560140645209
S432,1895.60094444875,1071,645.563159157399
S433,1596.7945974545,1032,664.898202790867
S434,473.381209286789,2060,415.722893408368
S435,488.049236154334,1220,164.716603920208
S436,2788.01003899124,1220,551.85361004536
S437,3531.8453986507,1220,694.831890203778
S438,754.138342500762,1220,254.394456252202
S439,51.8408320734957,1220,25.2050141863724
S440,1059.23396433529,1220,515.14755488242
S441,326.818489068451,1180,92.7832123973403
S442,1291.35496055451,1032,657.138106010819
S443,967.493429617784,1032,494.382680579921
S444,265.259594538431,1032,134.591725675758
S445,791.984202156134,2060,695.519753297738
S446,3634.01110402874,2020,3138.66748917112
S447,9532.59520748234,1332,3651.05616639458
S448,117.421217051319,1022,97.1298107352506
S449,2897.727509586,1191,993.947947991089
S450,510.912691232761,1335,218.022207189014
S451,1536.49040465848,1335,627.70068127224
S452,3016.26654609242,1180,1007.64556342077
S453,1028.11090531648,1022,846.298668399453
S454,1504.85466922903,2060,1314.29323905514
S455,865.674087843222,1332,240.295850449201
S456,2767.51545982917,1191,865.320620487204
S457,324.201432782413,1191,101.367083102474
S458,1790.26274908753,1021,1344.93888009476
S459,236.477558498121,1220,75.5667737149858
S460,4633.53107280312,1332,1806.96404640058
S461,961.795411346614,1032,473.893237822733
S462,113.283214164876,1032,47.1171618147148
S463,4045.81699591985,1191,1162.16075788234
T001,303.199863048783,2580,149.193583404957
T002,903.434512050295,3020,436.648852377163
T003,149.901380240525,2170,119.57944862492
T004,561.244936967113,2060,483.563976833256
T005,221.899951611581,2060,83.4392188621203
T006,2555.50569577098,1102,1674.34958636416
T007,84.2855747312998,1122,69.9966834213632
T008,120.419956070355,2230,55.4697622910376
T009,282.60736884608,2210,118.020595119333
T010,319.816959959202,1352,132.769965100556
T011,51.6875403067305,1022,41.1486055051494
T012,4342.20770632142,3030,1310.24917880155
T013,5913.57249037722,1050,4546.33005966568
T014,497.290391522648,2020,293.56582909225
T015,65.5814541786403,1072,37.0066777150899
T016,289.319774145899,2230,163.800631527035
T017,1117.63898811655,2060,1001.11917871716
T018,269.871798229701,1670,223.041103831018
T019,141.901663321019,1670,121.559117180593
T020,154.558926413524,2060,144.269960342712
T021,6.31616048897797,1590,3.38598294254489
T022,270.27900658914,3670,93.7850749467204
T023,440.55320009257,2020,217.756272814634
T024,67.8367838170634,2060,25.2319744685419
T025,968.044240326761,1670,424.163001579346
T026,62.964865286326,1670,52.0386092513459
T027,3956.01876016398,4083,2266.38446424179
T028,31.9523196975386,1670,26.4076524559069
T029,62.2110758130779,2180,32.563609995908
T030,364.472133944724,3220,100.051174024042
T031,138.54470225896,2060,66.7856513453448
T032,124.142980774874,4162,49.8123710359181
T033,240.566983512622,2230,49.6095579747796
T034,161.348004775572,2450,102.160043224734
T035,451.462309184274,1022,248.957511334736
T036,203.784586989212,2070,124.769260539755
T037,73.2612631015415,1022,51.0302591259013
T038,719.777574502209,1883,215.795076893118
T039,1045.34302203074,1290,270.452119071907
T040,156.929706952319,1050,98.8601374257611
T041,69.4450397750948,1290,24.3852811423997
T042,66.0883701373265,1590,37.5915499863692
T043,130.521845520133,1881,69.8287632862614
T044,403.274389752841,1590,192.668159848969
T045,99.3484027189668,2170,81.6941569881916
T046,96.8459107548329,3020,26.7704143549945
T047,136.213709360716,2330,126.965461890602
T048,1031.19682066663,3110,574.450834341582
T049,64.8565773089863,1050,18.1794951547916
T050,169.261037368204,2660,32.1496494909405
T051,314.82095322379,1700,194.995849309655
T052,148.604391834855,1260,76.5456842197511
T053,386.546060989573,1700,207.762368232007
T054,101.981000343968,2020,81.7157660748726
T055,240.433505479109,1352,112.628319842373
T056,484.694575662451,2100,246.598994635282
T057,3414.47182810961,5050,1745.54184627423
T058,302.076448013827,1022,193.517724508858
T059,196.939527011666,1670,110.175959167366
T060,1733.91994506092,2450,1366.75951323538
T061,449.929639640424,2020,346.332394882881
T062,92.2633703542231,3670,29.9997047051975
T063,480.419905154754,2170,158.499190020318
T064,2260.20278366133,1122,1010.51597745185
T065,986.629768399367,2140,538.337103096656
T066,3701.31329118808,1150,2414.35540228362
T067,296.370229062056,1072,171.066639568907
T068,196.814503728356,1700,31.9458968648707
T069,221.610119686003,1700,35.9707052730878
T070,360.144691409551,2160,223.471076504128
T071,1097.71266604914,1700,498.284595970096
T072,599.204441701874,2020,423.407667161042
T073,138.227468733262,3690,45.4083048544624
T074,64.7185922612575,1700,30.378114734876
T075,65.7016302588611,1590,46.3077755438961
T076,104.112852786728,2480,31.615921350832
T077,1172.78840146649,4162,516.26817874441
T078,67.9071108565414,3110,25.7287811319815
T079,308.455576682629,1450,78.9240794798276
T080,757.802600072673,2180,559.940821829597
T081,34.4690565358963,1050,15.3617391330588
T082,81.8612741962984,1220,27.6457708514289
T083,383.366382808808,2180,106.129676596789
